job	input_path	pdf_path	mode	status	suppressed_naturals	removed_dynamics	removed_hairpins	final_barlines_added	cello_clef_changes_added	pdf_midi_fallbacks	error
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/002_ave_regina_coelorum.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/002_ave_regina_coelorum.pdf	clean	rendered	373	48	44	4	2	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/003_ave_dulcissima_maria.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/003_ave_dulcissima_maria.pdf	clean	rendered	323	44	40	4	6	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/004_deus_refugium_et_virtus.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/004_deus_refugium_et_virtus.pdf	clean	rendered	483	64	60	4	8	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/005_dignare_me.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/005_dignare_me.pdf	clean	rendered	383	44	40	4	8	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/006_domine_ne_despicias.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/006_domine_ne_despicias.pdf	clean	rendered	235	80	76	4	8	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/007_exaudi_deus.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/007_exaudi_deus.pdf	clean	rendered	347	32	28	4	11	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/008_hei_mihi_domine.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/008_hei_mihi_domine.pdf	clean	rendered	279	64	60	4	8	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/009_illumina_faciem_tuam.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/009_illumina_faciem_tuam.pdf	clean	rendered	443	52	48	4	8	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/010_laboravi_in_gemitu_meo.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/010_laboravi_in_gemitu_meo.pdf	clean	rendered	437	56	52	4	4	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/011_maria_mater_gratiae.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/011_maria_mater_gratiae.pdf	clean	rendered	489	44	40	4	4	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/012_o_crux_benedicta.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/012_o_crux_benedicta.pdf	clean	rendered	502	20	12	4	12	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/013_o_vos_omnes_1603.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/013_o_vos_omnes_1603.pdf	clean	rendered	194	52	48	4	8	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/014_peccantem_me_quotidie.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/014_peccantem_me_quotidie.pdf	clean	rendered	467	76	72	4	7	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/015_precibus_et_meritis.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/015_precibus_et_meritis.pdf	clean	rendered	357	44	40	4	4	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/016_reminiscere.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/016_reminiscere.pdf	clean	rendered	443	60	56	4	8	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/017_sancti_spiritus_domine.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/017_sancti_spiritus_domine.pdf	clean	rendered	377	68	64	4	2	0	
