job	input_path	pdf_path	mode	status	suppressed_naturals	removed_dynamics	removed_hairpins	final_barlines_added	cello_clef_changes_added	pdf_midi_fallbacks	error
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/018_tribularer_si_nescirem.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/018_tribularer_si_nescirem.pdf	clean	rendered	549	44	40	4	15	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/019_tribulationem_et_dolorem.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/019_tribulationem_et_dolorem.pdf	clean	rendered	515	60	56	4	8	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/020_venit_lumen_tuum.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/020_venit_lumen_tuum.pdf	clean	rendered	356	40	36	4	2	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/057_a_voi_mentre_il_mio_core.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/057_a_voi_mentre_il_mio_core.pdf	clean	rendered	508	68	64	4	10	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/058_ahi_disperata_vita.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/058_ahi_disperata_vita.pdf	clean	rendered	206	48	40	4	4	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/060_al_mio_gioir_il_ciel_si_fa_sereno.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/060_al_mio_gioir_il_ciel_si_fa_sereno.pdf	clean	rendered	628	76	72	4	10	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/061_all_ombra_de_gl_allori.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/061_all_ombra_de_gl_allori.pdf	clean	rendered	114	12	8	4	2	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/062_all_apparir_di_quelle_luci_ardenti.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/062_all_apparir_di_quelle_luci_ardenti.pdf	clean	rendered	436	44	37	4	13	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/063_alme_d_amor_rubelle.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/063_alme_d_amor_rubelle.pdf	clean	rendered	494	68	64	4	10	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/064_amor_pace_non_chero.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/064_amor_pace_non_chero.pdf	clean	rendered	276	40	34	4	10	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/065_ancide_sol_la_morte.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/065_ancide_sol_la_morte.pdf	clean	rendered	480	44	40	4	7	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/066_ancidetemi_pur_grievi_martiri.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/066_ancidetemi_pur_grievi_martiri.pdf	clean	rendered	472	60	48	4	8	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/067_ancor_che_per_amarti.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/067_ancor_che_per_amarti.pdf	clean	rendered	354	76	72	4	6	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/068_arde_il_mio_cor.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/068_arde_il_mio_cor.pdf	clean	rendered	341	44	40	4	10	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/069_ardita_zanzaretta.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/069_ardita_zanzaretta.pdf	clean	rendered	536	80	76	4	12	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/070_ardo_per_te_mio_bene.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/070_ardo_per_te_mio_bene.pdf	clean	rendered	328	56	51	4	10	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/071_asciugate_i_begli_occhi.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/071_asciugate_i_begli_occhi.pdf	clean	rendered	235	64	60	4	11	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/072_baci_soavi_e_cari.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/072_baci_soavi_e_cari.pdf	clean	rendered	1186	96	87	4	17	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/073_bella_angioletta.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/073_bella_angioletta.pdf	clean	rendered	482	80	76	4	9	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/074_belt_poi_che_t_assenti.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/074_belt_poi_che_t_assenti.pdf	clean	rendered	186	60	56	4	6	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/075_candida_man_qual_neve.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/075_candida_man_qual_neve.pdf	clean	rendered	468	56	49	4	16	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/076_candido_e_verde_fiore.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/076_candido_e_verde_fiore.pdf	clean	rendered	445	56	52	4	14	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/077_caro_amoroso_neo.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/077_caro_amoroso_neo.pdf	clean	rendered	634	84	78	4	17	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/078_che_fai_meco.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/078_che_fai_meco.pdf	clean	rendered	389	60	56	4	16	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/079_che_sentir_deve_il_petto_mio.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/079_che_sentir_deve_il_petto_mio.pdf	clean	rendered	404	80	76	4	2	1	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/080_chiaro_risplender_suole.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/080_chiaro_risplender_suole.pdf	clean	rendered	383	68	64	4	4	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/081_com_esser_pu_ch_io_viva.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/081_com_esser_pu_ch_io_viva.pdf	clean	rendered	390	44	38	4	18	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/082_come_vivrai_cor_mio.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/082_come_vivrai_cor_mio.pdf	clean	rendered	100	12	8	4	6	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/083_cor_mio_deh_non_piangete.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/083_cor_mio_deh_non_piangete.pdf	clean	rendered	595	108	98	4	12	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/084_correte_amanti_a_prova.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/084_correte_amanti_a_prova.pdf	clean	rendered	497	56	52	4	11	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/086_dalle_odorate_spoglie.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/086_dalle_odorate_spoglie.pdf	clean	rendered	191	24	20	4	5	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/087_deh_coprite_il_bel_seno.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/087_deh_coprite_il_bel_seno.pdf	clean	rendered	349	64	60	4	13	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/088_deh_come_invan_sospiro.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/088_deh_come_invan_sospiro.pdf	clean	rendered	350	72	62	4	9	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/090_del_bel_de_bei_vostri_occhi.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/090_del_bel_de_bei_vostri_occhi.pdf	clean	rendered	459	76	68	4	13	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/091_dolce_spirto_d_amore.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/091_dolce_spirto_d_amore.pdf	clean	rendered	432	64	60	4	10	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/092_dolcissima_mia_vita.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/092_dolcissima_mia_vita.pdf	clean	rendered	296	40	36	4	3	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/093_dolcissimo_sospiro.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/093_dolcissimo_sospiro.pdf	clean	rendered	450	36	30	4	11	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/095_ecco_morir_dunque.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/095_ecco_morir_dunque.pdf	clean	rendered	507	128	124	4	22	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/096_felice_primavera.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/096_felice_primavera.pdf	clean	rendered	664	88	80	4	15	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/097_felicissimo_sonno.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/097_felicissimo_sonno.pdf	clean	rendered	395	60	56	4	11	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/098_gelo_ha_madonna_il_seno.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/098_gelo_ha_madonna_il_seno.pdf	clean	rendered	408	80	76	4	8	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/099_gioite_voi_col_canto.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/099_gioite_voi_col_canto.pdf	clean	rendered	424	92	88	4	15	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/100_gi_piansi_nel_dolore.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/100_gi_piansi_nel_dolore.pdf	clean	rendered	484	76	72	4	4	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/101_hai_rotto_e_sciolto_e_spento.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/101_hai_rotto_e_sciolto_e_spento.pdf	clean	rendered	298	96	92	4	12	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/102_in_pi_leggiadro_velo.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/102_in_pi_leggiadro_velo.pdf	clean	rendered	376	56	50	4	15	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/103_io_parto_e_non_pi_dissi.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/103_io_parto_e_non_pi_dissi.pdf	clean	rendered	459	60	56	4	6	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/104_io_pur_respiro_in_cos_gran_dolore.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/104_io_pur_respiro_in_cos_gran_dolore.pdf	clean	rendered	423	72	65	4	10	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/105_io_tacer.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/105_io_tacer.pdf	clean	rendered	294	44	40	4	7	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/106_itene_o_miei_sospiri.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/106_itene_o_miei_sospiri.pdf	clean	rendered	408	64	60	4	14	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/107_languisce_al_fin_chi_da_la_vita_parte.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/107_languisce_al_fin_chi_da_la_vita_parte.pdf	clean	rendered	440	68	64	4	11	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/109_luci_serene_e_chiare.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/109_luci_serene_e_chiare.pdf	clean	rendered	261	56	52	4	8	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/110_ma_se_avverr_ch_io_moia.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/110_ma_se_avverr_ch_io_moia.pdf	clean	rendered	354	44	40	4	6	1	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/111_ma_se_tale_ha_costei.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/111_ma_se_tale_ha_costei.pdf	clean	rendered	347	56	52	4	12	1	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/112_ma_tu_cagion_di_quella_atroce_pena.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/112_ma_tu_cagion_di_quella_atroce_pena.pdf	clean	rendered	154	48	44	4	8	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/113_madonna_io_ben_vorrei.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/113_madonna_io_ben_vorrei.pdf	clean	rendered	462	44	40	4	14	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/114_mentre_gira_costei.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/114_mentre_gira_costei.pdf	clean	rendered	590	84	80	4	17	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/115_mentre_madonna_il_lasso_fianco_posa.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/115_mentre_madonna_il_lasso_fianco_posa.pdf	clean	rendered	859	76	71	4	14	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/116_mentre_mia_stella_miri.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/116_mentre_mia_stella_miri.pdf	clean	rendered	506	80	76	4	14	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/117_meraviglia_d_amore.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/117_meraviglia_d_amore.pdf	clean	rendered	790	92	85	4	21	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/118_merc_grido_piangendo.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/118_merc_grido_piangendo.pdf	clean	rendered	418	52	48	4	14	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/119_mille_volte_il_di.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/119_mille_volte_il_di.pdf	clean	rendered	286	64	60	4	10	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/120_moro_e_mentre_sospiro.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/120_moro_e_mentre_sospiro.pdf	clean	rendered	612	52	48	4	11	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/121_moro_lasso_al_mio_duolo.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/121_moro_lasso_al_mio_duolo.pdf	clean	rendered	398	84	80	4	15	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/123_non_mai_non_canger_stato.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/123_non_mai_non_canger_stato.pdf	clean	rendered	295	40	36	4	12	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/124_non_mi_toglia_il_ben_mio.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/124_non_mi_toglia_il_ben_mio.pdf	clean	rendered	329	56	52	4	16	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/125_non_mirar_non_mirare.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/125_non_mirar_non_mirare.pdf	clean	rendered	493	68	63	4	12	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/127_non_questa_la_mano.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/127_non_questa_la_mano.pdf	clean	rendered	647	52	45	4	17	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/128_o_com_gran_martire.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/128_o_com_gran_martire.pdf	clean	rendered	454	52	45	4	11	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/129_o_dolce_mio_martire.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/129_o_dolce_mio_martire.pdf	clean	rendered	417	36	32	4	4	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/130_o_dolce_mio_tesoro.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/130_o_dolce_mio_tesoro.pdf	clean	rendered	392	56	52	4	8	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/131_o_dolorosa_gioia.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/131_o_dolorosa_gioia.pdf	clean	rendered	451	44	40	4	9	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/132_o_mal_nati_messagi.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/132_o_mal_nati_messagi.pdf	clean	rendered	401	68	64	4	15	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/134_o_tenebroso_giorno.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/134_o_tenebroso_giorno.pdf	clean	rendered	363	44	40	4	2	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/135_o_voi_troppo_felici.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/135_o_voi_troppo_felici.pdf	clean	rendered	296	40	36	4	5	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/136_occhi_del_mio_cor_vita.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/136_occhi_del_mio_cor_vita.pdf	clean	rendered	389	56	52	4	9	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/137_or_che_in_gioia.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/137_or_che_in_gioia.pdf	clean	rendered	502	60	56	4	12	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/138_poich_l_avida_sete.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/138_poich_l_avida_sete.pdf	clean	rendered	213	60	56	4	9	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/139_qual_fora_donna.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/139_qual_fora_donna.pdf	clean	rendered	273	56	52	4	6	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/140_quando_l_alba_novella.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/140_quando_l_alba_novella.pdf	clean	rendered	156	12	8	4	2	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/141_quando_ridente_e_bella.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/141_quando_ridente_e_bella.pdf	clean	rendered	443	60	56	4	8	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/143_quel_no_crudel_che_la_mia_speme_ancise.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/143_quel_no_crudel_che_la_mia_speme_ancise.pdf	clean	rendered	509	72	68	4	12	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/144_questa_crudele_e_pia.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/144_questa_crudele_e_pia.pdf	clean	rendered	324	56	52	4	11	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/145_questi_leggiadri_odorosetti_fiori.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/145_questi_leggiadri_odorosetti_fiori.pdf	clean	rendered	312	56	51	4	12	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/146_resta_di_darmi_noia.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/146_resta_di_darmi_noia.pdf	clean	rendered	270	40	35	4	4	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/147_s_io_non_miro_non_moro.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/147_s_io_non_miro_non_moro.pdf	clean	rendered	267	60	56	4	6	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/148_se_chiudete_nel_core.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/148_se_chiudete_nel_core.pdf	clean	rendered	372	52	48	4	12	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/149_se_cos_dolce_il_duolo.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/149_se_cos_dolce_il_duolo.pdf	clean	rendered	489	36	29	4	16	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/150_se_da_s_nobil_mano.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/150_se_da_s_nobil_mano.pdf	clean	rendered	404	44	40	4	8	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/151_se_la_mia_morte_brami.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/151_se_la_mia_morte_brami.pdf	clean	rendered	307	96	77	4	4	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/152_se_per_lieve_ferita.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/152_se_per_lieve_ferita.pdf	clean	rendered	303	56	52	4	4	1	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/153_se_piange_ahim_la_donna_del_mio_core.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/153_se_piange_ahim_la_donna_del_mio_core.pdf	clean	rendered	474	56	50	4	9	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/154_se_taccio_il_duol_s_avanza.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/154_se_taccio_il_duol_s_avanza.pdf	clean	rendered	233	24	17	4	4	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/155_se_tu_fuggi.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/155_se_tu_fuggi.pdf	clean	rendered	369	56	52	4	13	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/156_se_vi_duol_il_mio_duolo.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/156_se_vi_duol_il_mio_duolo.pdf	clean	rendered	368	68	64	4	22	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/158_sento_che_nel_partire.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/158_sento_che_nel_partire.pdf	clean	rendered	325	52	48	4	14	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/159_son_s_belle_le_rose.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/159_son_s_belle_le_rose.pdf	clean	rendered	348	40	33	4	8	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/160_sospirava.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/160_sospirava.pdf	clean	rendered	250	32	28	4	6	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/161_sparge_la_morte.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/161_sparge_la_morte.pdf	clean	rendered	291	76	72	4	10	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/162_s_gioioso_mi_fanno_i_dolor_miei.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/162_s_gioioso_mi_fanno_i_dolor_miei.pdf	clean	rendered	524	76	72	4	8	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/163_t_amo_mia_vita.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/163_t_amo_mia_vita.pdf	clean	rendered	304	32	28	4	13	0	
cpdl5:string_quartet	data/cpdl/5-voices/reductions/string_quartet/164_tall_or_sano_desio.musicxml	data/cpdl/5-voices/renders/string_quartet_pdf/164_tall_or_sano_desio.pdf	clean	rendered	455	92	88	4	13	0	
