batch	work_id	title	source_path	output_path	mp3_path	original_snapshot_path	updated_snapshot_path	current_semitones	updated_semitones	current_key_burden	updated_key_burden	key_burden_delta	current_tessitura_score	updated_tessitura_score	tessitura_delta	status	error
cpdl_5_voice_quartet_plus_viole	11	Maria, mater gratiae	data/cpdl/5-voices/sources/011_maria_mater_gratiae__02_gesualdo_maria_mater_gratiae.mxl	data/cpdl/5-voices/reductions/string_quartet_plus_viole/011_maria_mater_gratiae.musicxml	data/cpdl/5-voices/renders/string_quartet_plus_viole_mp3/011_maria_mater_gratiae.mp3	outputs/transposition_comparison/obvious_key_signature/cpdl_5_voice_quartet_plus_viole/original/011_maria_mater_gratiae__t+5_to_+7.musicxml	outputs/transposition_comparison/obvious_key_signature/cpdl_5_voice_quartet_plus_viole/updated/011_maria_mater_gratiae__t+5_to_+7.musicxml	5	7	2	0	2	0.510148	0.550133	0.0399852	ok	
cpdl_5_voice_quartet_plus_viole	5	Dignare me	data/cpdl/5-voices/sources/005_dignare_me__02_gesualdo_dignare_me.mxl	data/cpdl/5-voices/reductions/string_quartet_plus_viole/005_dignare_me.musicxml	data/cpdl/5-voices/renders/string_quartet_plus_viole_mp3/005_dignare_me.mp3	outputs/transposition_comparison/obvious_key_signature/cpdl_5_voice_quartet_plus_viole/original/005_dignare_me__t+5_to_+7.musicxml	outputs/transposition_comparison/obvious_key_signature/cpdl_5_voice_quartet_plus_viole/updated/005_dignare_me__t+5_to_+7.musicxml	5	7	2	0	2	0.601314	0.64573	0.0444167	ok	
cpdl_5_voice_string_quartet	136	Occhi del mio cor vita	data/cpdl/5-voices/sources/136_occhi_del_mio_cor_vita__02_gesu_9occhisattb.mxl	data/cpdl/5-voices/reductions/string_quartet/136_occhi_del_mio_cor_vita.musicxml	data/cpdl/5-voices/renders/string_quartet_mp3/136_occhi_del_mio_cor_vita.mp3	outputs/transposition_comparison/obvious_key_signature/cpdl_5_voice_string_quartet/original/136_occhi_del_mio_cor_vita__t+2_to_+0.musicxml	outputs/transposition_comparison/obvious_key_signature/cpdl_5_voice_string_quartet/updated/136_occhi_del_mio_cor_vita__t+2_to_+0.musicxml	2	0	2	0	2	0.377313	0.411129	0.033816	ok	
