work_index	section	work_title	source_path	source_format	source_parts	output_path	global_transposition	status	error
2	Sacred works for five voices	Ave Regina coelorum	data/cpdl/002_ave_regina_coelorum__02_gesualdo_ave_regina_coelorum.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/002_ave_regina_coelorum__quartet_plus_viole_sweetspot.musicxml	5	ok	
3	Sacred works for five voices	Ave, dulcissima Maria	data/cpdl/003_ave_dulcissima_maria__02_ave_dulcissima_maria_gesualdo.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/003_ave_dulcissima_maria__quartet_plus_viole_sweetspot.musicxml	4	ok	
4	Sacred works for five voices	Deus refugium et virtus	data/cpdl/004_deus_refugium_et_virtus__02_gesualdo_deus_refugium.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/004_deus_refugium_et_virtus__quartet_plus_viole_sweetspot.musicxml	4	ok	
5	Sacred works for five voices	Dignare me	data/cpdl/005_dignare_me__02_gesualdo_dignare_me.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/005_dignare_me__quartet_plus_viole_sweetspot.musicxml	6	ok	
6	Sacred works for five voices	Domine ne despicias	data/cpdl/006_domine_ne_despicias__02_gesualdo_domine_ne_despicias.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/006_domine_ne_despicias__quartet_plus_viole_sweetspot.musicxml	6	ok	
7	Sacred works for five voices	Exaudi Deus	data/cpdl/007_exaudi_deus__02_gesualdo_exaudi_deus.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/007_exaudi_deus__quartet_plus_viole_sweetspot.musicxml	6	ok	
8	Sacred works for five voices	Hei mihi, Domine	data/cpdl/008_hei_mihi_domine__02_gesu_hei.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/008_hei_mihi_domine__quartet_plus_viole_sweetspot.musicxml	4	ok	
9	Sacred works for five voices	Illumina faciem tuam	data/cpdl/009_illumina_faciem_tuam__02_illumina_faciem_tuam_gesualdo.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/009_illumina_faciem_tuam__quartet_plus_viole_sweetspot.musicxml	4	ok	
10	Sacred works for five voices	Laboravi in gemitu meo	data/cpdl/010_laboravi_in_gemitu_meo__02_gesualdo_laboravi.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/010_laboravi_in_gemitu_meo__quartet_plus_viole_sweetspot.musicxml	6	ok	
11	Sacred works for five voices	Maria, mater gratiae	data/cpdl/011_maria_mater_gratiae__02_gesualdo_maria_mater_gratiae.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/011_maria_mater_gratiae__quartet_plus_viole_sweetspot.musicxml	6	ok	
12	Sacred works for five voices	O Crux benedicta	data/cpdl/012_o_crux_benedicta__02_gesualdo_o_crux_benedicta.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/012_o_crux_benedicta__quartet_plus_viole_sweetspot.musicxml	1	ok	
13	Sacred works for five voices	O vos omnes (1603)				data/cpdl_reductions/five_voice_quartet_plus_viole/013_o_vos_omnes_1603__quartet_plus_viole_sweetspot.musicxml		error	data/cpdl/013_o_vos_omnes_1603__04_o_vos_omnes_gesualdo.mxl: expected 5 parts, found 7; data/cpdl/013_o_vos_omnes_1603__06_ws_gesu_vos.mxl: expected 5 parts, found 7; data/cpdl/013_o_vos_omnes_1603__01_gesualdo_ovosomnes.mid: expected 5 parts, found 11; data/cpdl/013_o_vos_omnes_1603__03_o_vos_omnes_gesualdo.mid: expected 5 parts, found 6; data/cpdl/013_o_vos_omnes_1603__05_ws_gesu_vos.mid: expected 5 parts, found 1; data/cpdl/013_o_vos_omnes_1603__02_gesualdo_ovosomnes.mxl: reduction failed: Violin I has overlapping source events near measure 11: p0:e20
14	Sacred works for five voices	Peccantem me quotidie	data/cpdl/014_peccantem_me_quotidie__02_gesualdo_peccantum_me.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/014_peccantem_me_quotidie__quartet_plus_viole_sweetspot.musicxml	6	ok	
15	Sacred works for five voices	Precibus et meritis	data/cpdl/015_precibus_et_meritis__02_gesualdo_precibus.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/015_precibus_et_meritis__quartet_plus_viole_sweetspot.musicxml	4	ok	
16	Sacred works for five voices	Reminiscere	data/cpdl/016_reminiscere__02_gesualdo_reminiscere.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/016_reminiscere__quartet_plus_viole_sweetspot.musicxml	6	ok	
17	Sacred works for five voices	Sancti Spiritus Domine	data/cpdl/017_sancti_spiritus_domine__02_gesualdo_sancti_spiritus_domine.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/017_sancti_spiritus_domine__quartet_plus_viole_sweetspot.musicxml	6	ok	
18	Sacred works for five voices	Tribularer si nescirem	data/cpdl/018_tribularer_si_nescirem__02_gesualdo_tribularer19.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/018_tribularer_si_nescirem__quartet_plus_viole_sweetspot.musicxml	1	ok	
19	Sacred works for five voices	Tribulationem et dolorem	data/cpdl/019_tribulationem_et_dolorem__02_tribulationem_et_dolorem_gesualdo.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/019_tribulationem_et_dolorem__quartet_plus_viole_sweetspot.musicxml	6	ok	
20	Sacred works for five voices	Venit lumen tuum	data/cpdl/020_venit_lumen_tuum__02_gesu_ven.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/020_venit_lumen_tuum__quartet_plus_viole_sweetspot.musicxml	4	ok	
57	Secular works for five voices	A voi, mentre il mio core	data/cpdl/057_a_voi_mentre_il_mio_core__02_a_voi_mentre_il_mio_core_gesualdo.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/057_a_voi_mentre_il_mio_core__quartet_plus_viole_sweetspot.musicxml	1	ok	
58	Secular works for five voices	Ahi, disperata vita	data/cpdl/058_ahi_disperata_vita__01_gesualdo_ahi_disperata_vita.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/058_ahi_disperata_vita__quartet_plus_viole_sweetspot.musicxml	5	ok	
59	Secular works for five voices	Ahi, dispietata e cruda				data/cpdl_reductions/five_voice_quartet_plus_viole/059_ahi_dispietata_e_cruda__quartet_plus_viole_sweetspot.musicxml		error	data/cpdl/059_ahi_dispietata_e_cruda__01_gesualdo_ahi_dispietata_e_cruda.mxl: reduction failed: Violin I has overlapping source events near measure 6: p0:e9
60	Secular works for five voices	Al mio gioir il ciel si fa sereno	data/cpdl/060_al_mio_gioir_il_ciel_si_fa_sereno__02_al_mio_gioir_gesualdo.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/060_al_mio_gioir_il_ciel_si_fa_sereno__quartet_plus_viole_sweetspot.musicxml	1	ok	
61	Secular works for five voices	All' ombra de gl'allori	data/cpdl/061_all_ombra_de_gl_allori__02_gesualdo_all_ombra_de_gl_allori.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/061_all_ombra_de_gl_allori__quartet_plus_viole_sweetspot.musicxml	1	ok	
62	Secular works for five voices	All'apparir di quelle luci ardenti	data/cpdl/062_all_apparir_di_quelle_luci_ardenti__02_gesualdo_all_apparir_di_quelle_luci_ardenti.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/062_all_apparir_di_quelle_luci_ardenti__quartet_plus_viole_sweetspot.musicxml	1	ok	
63	Secular works for five voices	Alme d'Amor rubelle	data/cpdl/063_alme_d_amor_rubelle__02_alme_d_amor_rubelle_gesualdo.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/063_alme_d_amor_rubelle__quartet_plus_viole_sweetspot.musicxml	-1	ok	
64	Secular works for five voices	Amor pace non chero	data/cpdl/064_amor_pace_non_chero__01_gesualdo_amor_pace_non_chero.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/064_amor_pace_non_chero__quartet_plus_viole_sweetspot.musicxml	-1	ok	
65	Secular works for five voices	Ancide sol la morte	data/cpdl/065_ancide_sol_la_morte__02_ancide_sol_la_morte_gesualdo.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/065_ancide_sol_la_morte__quartet_plus_viole_sweetspot.musicxml	1	ok	
66	Secular works for five voices	Ancidetemi pur, grievi martiri	data/cpdl/066_ancidetemi_pur_grievi_martiri__01_gesualdo_ancidetemi_pur_grievi_martiri.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/066_ancidetemi_pur_grievi_martiri__quartet_plus_viole_sweetspot.musicxml	1	ok	
67	Secular works for five voices	Ancor che per amarti	data/cpdl/067_ancor_che_per_amarti__02_ancor_che_per_amarti_gesualdo.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/067_ancor_che_per_amarti__quartet_plus_viole_sweetspot.musicxml	1	ok	
68	Secular works for five voices	Arde il mio cor	data/cpdl/068_arde_il_mio_cor__02_arde_il_mio_cor_gesualdo.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/068_arde_il_mio_cor__quartet_plus_viole_sweetspot.musicxml	1	ok	
69	Secular works for five voices	Ardita zanzaretta	data/cpdl/069_ardita_zanzaretta__02_ardita_zanzaretta_gesualdo.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/069_ardita_zanzaretta__quartet_plus_viole_sweetspot.musicxml	3	ok	
70	Secular works for five voices	Ardo per te, mio bene	data/cpdl/070_ardo_per_te_mio_bene__02_ardo_per_te_mio_bene_gesualdo.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/070_ardo_per_te_mio_bene__quartet_plus_viole_sweetspot.musicxml	3	ok	
71	Secular works for five voices	Asciugate i begli occhi	data/cpdl/071_asciugate_i_begli_occhi__02_gesu_14asc.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/071_asciugate_i_begli_occhi__quartet_plus_viole_sweetspot.musicxml	4	ok	
72	Secular works for five voices	Baci soavi e cari	data/cpdl/072_baci_soavi_e_cari__02_gesualdo_baci_soavi_e_cari.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/072_baci_soavi_e_cari__quartet_plus_viole_sweetspot.musicxml	3	ok	
73	Secular works for five voices	Bella Angioletta	data/cpdl/073_bella_angioletta__01_gesualdo_bella_angioletta.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/073_bella_angioletta__quartet_plus_viole_sweetspot.musicxml	0	ok	
