source_path	source_parts	source_format	title	duration_quarters	output_path	global_transposition	measures_per_part	status	error
data/beach boys/our-prayer-the-beach-boys.mxl	4	mxl	Our Prayer	50.5	data/beach boys/reductions/string_quartet/our_prayer.musicxml	1	12	ok	-
data/beach boys/our-prayer-the-beach-boys.mxl	4	mxl	Our Prayer - Low Cello	50.5	data/beach boys/reductions/string_quartet/our_prayer_low_cello.musicxml	1	12	ok	-
