book	title	filename	parts	duration_quarters	chosen_semitones	transposition_score	mode	status	output	reduced_parts	measures_per_part	error
VI	12. Càndido e verde fiore	data/kdf/book6/sources/book6_12_candido_e_verde_fiore.mid	5	200.0	0	0.392127	string_quartet	ok	data/kdf/book6/reductions/string_quartet/book6_12_candido_e_verde_fiore.musicxml	4	50,50,50,50	none
VI	13. Ardita Zanzaretta	data/kdf/book6/sources/book6_13_ardita_zanzaretta.mid	5	300.0	0	0.370269	string_quartet	ok	data/kdf/book6/reductions/string_quartet/book6_13_ardita_zanzaretta.musicxml	4	75,75,75,75	none
VI	14. Ardo per te, mio bene	data/kdf/book6/sources/book6_14_ardo_per_te_mio_bene.mid	5	328.0	2	0.406867	string_quartet	ok	data/kdf/book6/reductions/string_quartet/book6_14_ardo_per_te_mio_bene.musicxml	4	82,82,82,82	none
VI	15. Ancide sol la morte	data/kdf/book6/sources/book6_15_ancide_sol_la_morte.mid	5	240.0	0	0.377753	string_quartet	ok	data/kdf/book6/reductions/string_quartet/book6_15_ancide_sol_la_morte.musicxml	4	60,60,60,60	none
VI	16. Quel no crudel que la mia speme ancise	data/kdf/book6/sources/book6_16_quel_no_crudel_que_la_mia_speme_ancise.mid	5	244.0	0	0.394022	string_quartet	ok	data/kdf/book6/reductions/string_quartet/book6_16_quel_no_crudel_que_la_mia_speme_ancise.musicxml	4	61,61,61,61	none
VI	17. Moro, lasso, al mio duolo	data/kdf/book6/sources/book6_17_moro_lasso_al_mio_duolo.mid	5	344.0	0	0.295460	string_quartet	ok	data/kdf/book6/reductions/string_quartet/book6_17_moro_lasso_al_mio_duolo.musicxml	4	86,86,86,86	none
VI	18. Volan quasi farfalle	data/kdf/book6/sources/book6_18_volan_quasi_farfalle.mid	5	288.0	0	0.425041	string_quartet	ok	data/kdf/book6/reductions/string_quartet/book6_18_volan_quasi_farfalle.musicxml	4	72,72,72,72	none
VI	19. Al mio gioir il ciel si fa sereno	data/kdf/book6/sources/book6_19_al_mio_gioir_il_ciel_si_fa_sereno.mid	5	249.0	0	0.381181	string_quartet	ok	data/kdf/book6/reductions/string_quartet/book6_19_al_mio_gioir_il_ciel_si_fa_sereno.musicxml	4	63,63,63,63	none
VI	20. Tu segui, o bella Clori	data/kdf/book6/sources/book6_20_tu_segui_o_bella_clori.mid	5	236.0	0	0.431175	string_quartet	ok	data/kdf/book6/reductions/string_quartet/book6_20_tu_segui_o_bella_clori.musicxml	4	59,59,59,59	none
VI	21. Ancor che per amarti	data/kdf/book6/sources/book6_21_ancor_che_per_amarti.mid	5	336.0	0	0.297434	string_quartet	ok	data/kdf/book6/reductions/string_quartet/book6_21_ancor_che_per_amarti.musicxml	4	84,84,84,84	none
VI	22. Già piansi nel dolore	data/kdf/book6/sources/book6_22_gia_piansi_nel_dolore.mid	5	230.0	0	0.331850	string_quartet	ok	data/kdf/book6/reductions/string_quartet/book6_22_gia_piansi_nel_dolore.musicxml	4	58,58,58,58	none
VI	23. Quando ridente e bella	data/kdf/book6/sources/book6_23_quando_ridente_e_bella.mid	5	253.0	-3	0.408685	string_quartet	ok	data/kdf/book6/reductions/string_quartet/book6_23_quando_ridente_e_bella.musicxml	4	64,64,64,64	none
