work_index	section	work_title	target	source_path	source_format	source_parts	output_path	global_transposition	status	error
2	Sacred works for five voices	Ave Regina coelorum	string_quartet	data/cpdl/5-voices/sources/002_ave_regina_coelorum__02_gesualdo_ave_regina_coelorum.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/002_ave_regina_coelorum.musicxml	2	ok	
3	Sacred works for five voices	Ave, dulcissima Maria	string_quartet	data/cpdl/5-voices/sources/003_ave_dulcissima_maria__02_ave_dulcissima_maria_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/003_ave_dulcissima_maria.musicxml	2	ok	
4	Sacred works for five voices	Deus refugium et virtus	string_quartet	data/cpdl/5-voices/sources/004_deus_refugium_et_virtus__02_gesualdo_deus_refugium.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/004_deus_refugium_et_virtus.musicxml	2	ok	
5	Sacred works for five voices	Dignare me	string_quartet	data/cpdl/5-voices/sources/005_dignare_me__02_gesualdo_dignare_me.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/005_dignare_me.musicxml	2	ok	
6	Sacred works for five voices	Domine ne despicias	string_quartet	data/cpdl/5-voices/sources/006_domine_ne_despicias__02_gesualdo_domine_ne_despicias.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/006_domine_ne_despicias.musicxml	2	ok	
7	Sacred works for five voices	Exaudi Deus	string_quartet	data/cpdl/5-voices/sources/007_exaudi_deus__02_gesualdo_exaudi_deus.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/007_exaudi_deus.musicxml	2	ok	
8	Sacred works for five voices	Hei mihi, Domine	string_quartet	data/cpdl/5-voices/sources/008_hei_mihi_domine__02_gesu_hei.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/008_hei_mihi_domine.musicxml	2	ok	
9	Sacred works for five voices	Illumina faciem tuam	string_quartet	data/cpdl/5-voices/sources/009_illumina_faciem_tuam__02_illumina_faciem_tuam_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/009_illumina_faciem_tuam.musicxml	2	ok	
10	Sacred works for five voices	Laboravi in gemitu meo	string_quartet	data/cpdl/5-voices/sources/010_laboravi_in_gemitu_meo__02_gesualdo_laboravi.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/010_laboravi_in_gemitu_meo.musicxml	4	ok	
11	Sacred works for five voices	Maria, mater gratiae	string_quartet	data/cpdl/5-voices/sources/011_maria_mater_gratiae__02_gesualdo_maria_mater_gratiae.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/011_maria_mater_gratiae.musicxml	2	ok	
12	Sacred works for five voices	O Crux benedicta	string_quartet	data/cpdl/5-voices/sources/012_o_crux_benedicta__02_gesualdo_o_crux_benedicta.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/012_o_crux_benedicta.musicxml	0	ok	
13	Sacred works for five voices	O vos omnes (1603)	string_quartet	data/cpdl/5-voices/sources/013_o_vos_omnes_1603__02_gesualdo_ovosomnes.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/013_o_vos_omnes_1603.musicxml	2	ok	
14	Sacred works for five voices	Peccantem me quotidie	string_quartet	data/cpdl/5-voices/sources/014_peccantem_me_quotidie__02_gesualdo_peccantum_me.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/014_peccantem_me_quotidie.musicxml	2	ok	
15	Sacred works for five voices	Precibus et meritis	string_quartet	data/cpdl/5-voices/sources/015_precibus_et_meritis__02_gesualdo_precibus.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/015_precibus_et_meritis.musicxml	2	ok	
16	Sacred works for five voices	Reminiscere	string_quartet	data/cpdl/5-voices/sources/016_reminiscere__02_gesualdo_reminiscere.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/016_reminiscere.musicxml	2	ok	
17	Sacred works for five voices	Sancti Spiritus Domine	string_quartet	data/cpdl/5-voices/sources/017_sancti_spiritus_domine__02_gesualdo_sancti_spiritus_domine.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/017_sancti_spiritus_domine.musicxml	2	ok	
18	Sacred works for five voices	Tribularer si nescirem	string_quartet	data/cpdl/5-voices/sources/018_tribularer_si_nescirem__02_gesualdo_tribularer19.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/018_tribularer_si_nescirem.musicxml	0	ok	
19	Sacred works for five voices	Tribulationem et dolorem	string_quartet	data/cpdl/5-voices/sources/019_tribulationem_et_dolorem__02_tribulationem_et_dolorem_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/019_tribulationem_et_dolorem.musicxml	2	ok	
20	Sacred works for five voices	Venit lumen tuum	string_quartet	data/cpdl/5-voices/sources/020_venit_lumen_tuum__02_gesu_ven.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/020_venit_lumen_tuum.musicxml	0	ok	
57	Secular works for five voices	A voi, mentre il mio core	string_quartet	data/cpdl/5-voices/sources/057_a_voi_mentre_il_mio_core__02_a_voi_mentre_il_mio_core_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/057_a_voi_mentre_il_mio_core.musicxml	0	ok	
58	Secular works for five voices	Ahi, disperata vita	string_quartet	data/cpdl/5-voices/sources/058_ahi_disperata_vita__01_gesualdo_ahi_disperata_vita.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/058_ahi_disperata_vita.musicxml	2	ok	
59	Secular works for five voices	Ahi, dispietata e cruda	string_quartet				data/cpdl/5-voices/reductions/string_quartet/059_ahi_dispietata_e_cruda.musicxml		error	data/cpdl/059_ahi_dispietata_e_cruda__01_gesualdo_ahi_dispietata_e_cruda.mxl: reduction failed: Violin I has overlapping source events near measure 6: p0:e9
60	Secular works for five voices	Al mio gioir il ciel si fa sereno	string_quartet	data/cpdl/5-voices/sources/060_al_mio_gioir_il_ciel_si_fa_sereno__02_al_mio_gioir_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/060_al_mio_gioir_il_ciel_si_fa_sereno.musicxml	0	ok	
61	Secular works for five voices	All' ombra de gl'allori	string_quartet	data/cpdl/5-voices/sources/061_all_ombra_de_gl_allori__02_gesualdo_all_ombra_de_gl_allori.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/061_all_ombra_de_gl_allori.musicxml	2	ok	
62	Secular works for five voices	All'apparir di quelle luci ardenti	string_quartet	data/cpdl/5-voices/sources/062_all_apparir_di_quelle_luci_ardenti__02_gesualdo_all_apparir_di_quelle_luci_ardenti.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/062_all_apparir_di_quelle_luci_ardenti.musicxml	0	ok	
63	Secular works for five voices	Alme d'Amor rubelle	string_quartet	data/cpdl/5-voices/sources/063_alme_d_amor_rubelle__02_alme_d_amor_rubelle_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/063_alme_d_amor_rubelle.musicxml	-1	ok	
64	Secular works for five voices	Amor pace non chero	string_quartet	data/cpdl/5-voices/sources/064_amor_pace_non_chero__01_gesualdo_amor_pace_non_chero.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/064_amor_pace_non_chero.musicxml	-1	ok	
65	Secular works for five voices	Ancide sol la morte	string_quartet	data/cpdl/5-voices/sources/065_ancide_sol_la_morte__02_ancide_sol_la_morte_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/065_ancide_sol_la_morte.musicxml	0	ok	
66	Secular works for five voices	Ancidetemi pur, grievi martiri	string_quartet	data/cpdl/5-voices/sources/066_ancidetemi_pur_grievi_martiri__01_gesualdo_ancidetemi_pur_grievi_martiri.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/066_ancidetemi_pur_grievi_martiri.musicxml	0	ok	
67	Secular works for five voices	Ancor che per amarti	string_quartet	data/cpdl/5-voices/sources/067_ancor_che_per_amarti__02_ancor_che_per_amarti_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/067_ancor_che_per_amarti.musicxml	0	ok	
68	Secular works for five voices	Arde il mio cor	string_quartet	data/cpdl/5-voices/sources/068_arde_il_mio_cor__02_arde_il_mio_cor_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/068_arde_il_mio_cor.musicxml	0	ok	
