work_index	section	work_title	target	source_path	source_format	source_parts	output_path	global_transposition	status	error
57	Secular works for five voices	A voi, mentre il mio core	string_quartet_plus_viole	data/cpdl/5-voices/sources/057_a_voi_mentre_il_mio_core__02_a_voi_mentre_il_mio_core_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/057_a_voi_mentre_il_mio_core.musicxml	0	ok	
58	Secular works for five voices	Ahi, disperata vita	string_quartet_plus_viole	data/cpdl/5-voices/sources/058_ahi_disperata_vita__01_gesualdo_ahi_disperata_vita.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/058_ahi_disperata_vita.musicxml	5	ok	
59	Secular works for five voices	Ahi, dispietata e cruda	string_quartet_plus_viole				data/cpdl/5-voices/reductions/string_quartet_plus_viole/059_ahi_dispietata_e_cruda.musicxml		error	data/cpdl/5-voices/sources/059_ahi_dispietata_e_cruda__01_gesualdo_ahi_dispietata_e_cruda.mxl: reduction failed: Violin I has overlapping source events near measure 6: p0:e9
60	Secular works for five voices	Al mio gioir il ciel si fa sereno	string_quartet_plus_viole	data/cpdl/5-voices/sources/060_al_mio_gioir_il_ciel_si_fa_sereno__02_al_mio_gioir_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/060_al_mio_gioir_il_ciel_si_fa_sereno.musicxml	0	ok	
61	Secular works for five voices	All' ombra de gl'allori	string_quartet_plus_viole	data/cpdl/5-voices/sources/061_all_ombra_de_gl_allori__02_gesualdo_all_ombra_de_gl_allori.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/061_all_ombra_de_gl_allori.musicxml	2	ok	
62	Secular works for five voices	All'apparir di quelle luci ardenti	string_quartet_plus_viole	data/cpdl/5-voices/sources/062_all_apparir_di_quelle_luci_ardenti__02_gesualdo_all_apparir_di_quelle_luci_ardenti.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/062_all_apparir_di_quelle_luci_ardenti.musicxml	0	ok	
63	Secular works for five voices	Alme d'Amor rubelle	string_quartet_plus_viole	data/cpdl/5-voices/sources/063_alme_d_amor_rubelle__02_alme_d_amor_rubelle_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/063_alme_d_amor_rubelle.musicxml	0	ok	
64	Secular works for five voices	Amor pace non chero	string_quartet_plus_viole	data/cpdl/5-voices/sources/064_amor_pace_non_chero__01_gesualdo_amor_pace_non_chero.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/064_amor_pace_non_chero.musicxml	0	ok	
65	Secular works for five voices	Ancide sol la morte	string_quartet_plus_viole	data/cpdl/5-voices/sources/065_ancide_sol_la_morte__02_ancide_sol_la_morte_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/065_ancide_sol_la_morte.musicxml	0	ok	
66	Secular works for five voices	Ancidetemi pur, grievi martiri	string_quartet_plus_viole	data/cpdl/5-voices/sources/066_ancidetemi_pur_grievi_martiri__01_gesualdo_ancidetemi_pur_grievi_martiri.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/066_ancidetemi_pur_grievi_martiri.musicxml	0	ok	
67	Secular works for five voices	Ancor che per amarti	string_quartet_plus_viole	data/cpdl/5-voices/sources/067_ancor_che_per_amarti__02_ancor_che_per_amarti_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/067_ancor_che_per_amarti.musicxml	0	ok	
68	Secular works for five voices	Arde il mio cor	string_quartet_plus_viole	data/cpdl/5-voices/sources/068_arde_il_mio_cor__02_arde_il_mio_cor_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/068_arde_il_mio_cor.musicxml	0	ok	
69	Secular works for five voices	Ardita zanzaretta	string_quartet_plus_viole	data/cpdl/5-voices/sources/069_ardita_zanzaretta__02_ardita_zanzaretta_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/069_ardita_zanzaretta.musicxml	5	ok	
70	Secular works for five voices	Ardo per te, mio bene	string_quartet_plus_viole	data/cpdl/5-voices/sources/070_ardo_per_te_mio_bene__02_ardo_per_te_mio_bene_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/070_ardo_per_te_mio_bene.musicxml	3	ok	
71	Secular works for five voices	Asciugate i begli occhi	string_quartet_plus_viole	data/cpdl/5-voices/sources/071_asciugate_i_begli_occhi__02_gesu_14asc.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/071_asciugate_i_begli_occhi.musicxml	7	ok	
72	Secular works for five voices	Baci soavi e cari	string_quartet_plus_viole	data/cpdl/5-voices/sources/072_baci_soavi_e_cari__02_gesualdo_baci_soavi_e_cari.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/072_baci_soavi_e_cari.musicxml	2	ok	
