kind	severity	batch	work_id	title	output_path	part	measure	offset	detail	context
accidental_on_tie_continuation	low	octave_audit_irmp6mpq			outputs/octave_optimization/a_quiet_place_optimized.musicxml	Violin I	46	180	1 visible accidental(s) on tied continuation	pitches=74
accidental_on_tie_continuation	low	octave_audit_irmp6mpq			outputs/octave_optimization/a_quiet_place_optimized.musicxml	Violin I	47	184	1 visible accidental(s) on tied continuation	pitches=67,74
dangling_tie	medium	octave_audit_irmp6mpq			outputs/octave_optimization/a_quiet_place_optimized.musicxml	Violin II	17	66	tie start without matching continuation	pitches=62
dangling_tie	medium	octave_audit_irmp6mpq			outputs/octave_optimization/a_quiet_place_optimized.musicxml	Violin II	18	71	tie continue without matching continuation	pitches=67
accidental_on_tie_continuation	low	octave_audit_irmp6mpq			outputs/octave_optimization/a_quiet_place_optimized.musicxml	Viola	18	68	1 visible accidental(s) on tied continuation	pitches=58,62
