kind	severity	batch	work_id	title	output_path	part	measure	offset	detail	context
register_jump	medium	octave_audit_m8kwp03j			data/take6/reductions/string_quartet_double_stops/a_quiet_place.musicxml	Violin I	39	155	16 semitones from MIDI 80 to 64	prev_dur=1; current_dur=1
accidental_on_tie_continuation	low	octave_audit_m8kwp03j			data/take6/reductions/string_quartet_double_stops/a_quiet_place.musicxml	Violin I	46	180	1 visible accidental(s) on tied continuation	pitches=74
accidental_on_tie_continuation	low	octave_audit_m8kwp03j			data/take6/reductions/string_quartet_double_stops/a_quiet_place.musicxml	Violin I	47	184	1 visible accidental(s) on tied continuation	pitches=67,74
register_jump	medium	octave_audit_m8kwp03j			data/take6/reductions/string_quartet_double_stops/a_quiet_place.musicxml	Violin II	37	144	14 semitones from MIDI 64 to 78	prev_dur=1; current_dur=1
dangling_tie	medium	octave_audit_m8kwp03j			data/take6/reductions/string_quartet_double_stops/a_quiet_place.musicxml	Violin II	17	66	tie start without matching continuation	pitches=62
register_jump	medium	octave_audit_m8kwp03j			data/take6/reductions/string_quartet_double_stops/a_quiet_place.musicxml	Viola	37	144	17 semitones from MIDI 58 to 75	prev_dur=1; current_dur=2
accidental_on_tie_continuation	low	octave_audit_m8kwp03j			data/take6/reductions/string_quartet_double_stops/a_quiet_place.musicxml	Viola	18	68	1 visible accidental(s) on tied continuation	pitches=58,62
register_jump	medium	octave_audit_m8kwp03j			data/take6/reductions/string_quartet_double_stops/a_quiet_place.musicxml	Violoncello	15	59	12 semitones from MIDI 45 to 57	prev_dur=3; current_dur=1
