book	title	filename	parts	duration_quarters	chosen_semitones	transposition_score	status	output	reduced_parts	measures_per_part	error
IV	1. Luci serena e chiare	gesualdo_iv_libro_madrigali_1_(c)icking-archive.mid	5	344.0	-1	0.407401	ok	gesualdo_iv_libro_madrigali_1_(c)icking-archive_quartet_plus_viole.musicxml	5	86,86,86,86,86	none
IV	2. Tallor sano desio	gesualdo_iv_libro_madrigali_2_(c)icking-archive.mid	5	292.0	-1	0.382867	ok	gesualdo_iv_libro_madrigali_2_(c)icking-archive_quartet_plus_viole.musicxml	5	73,73,73,73,73	none
IV	3-4. Io Tacerò	gesualdo_iv_libro_madrigali_3-4_(c)icking-archive.mid	5	552.0	6	0.397030	ok	gesualdo_iv_libro_madrigali_3-4_(c)icking-archive_quartet_plus_viole.musicxml	5	138,138,138,138,138	none
IV	5. Che fai meco	gesualdo_iv_libro_madrigali_5_(c)icking-archive.mid	5	220.0	2	0.396607	ok	gesualdo_iv_libro_madrigali_5_(c)icking-archive_quartet_plus_viole.musicxml	5	55,55,55,55,55	none
IV	6. Questa crudele et pia	gesualdo_iv_libro_madrigali_6_(c)icking-archive.mid	5	308.0	2	0.293303	ok	gesualdo_iv_libro_madrigali_6_(c)icking-archive_quartet_plus_viole.musicxml	5	77,77,77,77,77	none
IV	7-8. Or che in gioia	gesualdo_iv_libro_madrigali_7-8_(c)icking-archive.mid	5	334.0	1	0.346594	ok	gesualdo_iv_libro_madrigali_7-8_(c)icking-archive_quartet_plus_viole.musicxml	5	85,85,85,85,85	none
IV	9-10. Cor mio, deh, non piangete	gesualdo_iv_libro_madrigali_9-10_(c)icking-archive.mid	5	404.0	4	0.352254	ok	gesualdo_iv_libro_madrigali_9-10_(c)icking-archive_quartet_plus_viole.musicxml	5	101,101,101,101,101	none
IV	11. Sparge la morte	gesualdo_iv_libro_madrigali_11_(c)icking-archive.mid	5	460.0	6	0.386638	ok	gesualdo_iv_libro_madrigali_11_(c)icking-archive_quartet_plus_viole.musicxml	5	115,115,115,115,115	none
IV	12-13. Moro, e mentre sospiro	gesualdo_iv_libro_madrigali_12-13_(c)icking-archive.mid	5	308.0	4	0.424970	ok	gesualdo_iv_libro_madrigali_12-13_(c)icking-archive_quartet_plus_viole.musicxml	5	77,77,77,77,77	none
IV	14. Mentre gira costei	gesualdo_iv_libro_madrigali_14_(c)icking-archive.mid	5	228.0	0	0.360218	ok	gesualdo_iv_libro_madrigali_14_(c)icking-archive_quartet_plus_viole.musicxml	5	57,57,57,57,57	none
IV	15. A voi, mentre il mio core	gesualdo_iv_libro_madrigali_15_(c)icking-archive.mid	5	236.0	1	0.347651	ok	gesualdo_iv_libro_madrigali_15_(c)icking-archive_quartet_plus_viole.musicxml	5	59,59,59,59,59	none
