book	title	source_path	quartet_musicxml	quartet_mp3	direct_url
VI	4. Resta di darmi noia	data/kdf/book6/sources/book6_04_resta_di_darmi_noia.mid	data/kdf/book6/reductions/string_quartet/book6_04_resta_di_darmi_noia.musicxml	data/kdf/book6/renders/string_quartet_mp3/book6_04_resta_di_darmi_noia.mp3	https://kunstderfuge.com/-/mid.files/2/gesualdo_vi_libro_madrigali_4_(c)icking-archive.mid
VI	5. Chiaro risplender suole	data/kdf/book6/sources/book6_05_chiaro_risplender_suole.mid	data/kdf/book6/reductions/string_quartet/book6_05_chiaro_risplender_suole.musicxml	data/kdf/book6/renders/string_quartet_mp3/book6_05_chiaro_risplender_suole.mp3	https://kunstderfuge.com/-/mid.files/2/gesualdo_vi_libro_madrigali_5_(c)icking-archive.mid
VI	6. Io parto e non più dissi	data/kdf/book6/sources/book6_06_io_parto_e_non_piu_dissi.mid	data/kdf/book6/reductions/string_quartet/book6_06_io_parto_e_non_piu_dissi.musicxml	data/kdf/book6/renders/string_quartet_mp3/book6_06_io_parto_e_non_piu_dissi.mp3	https://kunstderfuge.com/-/mid.files/2/gesualdo_vi_libro_madrigali_6_(c)icking-archive.mid
VI	7. Mille volte il di	data/kdf/book6/sources/book6_07_mille_volte_il_di.mid	data/kdf/book6/reductions/string_quartet/book6_07_mille_volte_il_di.musicxml	data/kdf/book6/renders/string_quartet_mp3/book6_07_mille_volte_il_di.mp3	https://kunstderfuge.com/-/mid.files/2/gesualdo_vi_libro_madrigali_7_(c)icking-archive.mid
VI	8. O Dolce mio tesoro	data/kdf/book6/sources/book6_08_o_dolce_mio_tesoro.mid	data/kdf/book6/reductions/string_quartet/book6_08_o_dolce_mio_tesoro.musicxml	data/kdf/book6/renders/string_quartet_mp3/book6_08_o_dolce_mio_tesoro.mp3	https://kunstderfuge.com/-/mid.files/2/gesualdo_vi_libro_madrigali_8_(c)icking-archive.mid
VI	9. Deh, come invan sospiro	data/kdf/book6/sources/book6_09_deh_come_invan_sospiro.mid	data/kdf/book6/reductions/string_quartet/book6_09_deh_come_invan_sospiro.musicxml	data/kdf/book6/renders/string_quartet_mp3/book6_09_deh_come_invan_sospiro.mp3	https://kunstderfuge.com/-/mid.files/2/gesualdo_vi_libro_madrigali_9_(c)icking-archive.mid
VI	10.  Io pur respiro in così gran dolore	data/kdf/book6/sources/book6_10_io_pur_respiro_in_cosi_gran_dolore.mid	data/kdf/book6/reductions/string_quartet/book6_10_io_pur_respiro_in_cosi_gran_dolore.musicxml	data/kdf/book6/renders/string_quartet_mp3/book6_10_io_pur_respiro_in_cosi_gran_dolore.mp3	https://kunstderfuge.com/-/mid.files/2/gesualdo_vi_libro_madrigali_10_(c)icking-archive.mid
VI	11. Alme dAmor rubelle	data/kdf/book6/sources/book6_11_alme_damor_rubelle.mid	data/kdf/book6/reductions/string_quartet/book6_11_alme_damor_rubelle.musicxml	data/kdf/book6/renders/string_quartet_mp3/book6_11_alme_damor_rubelle.mp3	https://kunstderfuge.com/-/mid.files/2/gesualdo_vi_libro_madrigali_11_(c)icking-archive.mid
VI	12. Càndido e verde fiore	data/kdf/book6/sources/book6_12_candido_e_verde_fiore.mid	data/kdf/book6/reductions/string_quartet/book6_12_candido_e_verde_fiore.musicxml	data/kdf/book6/renders/string_quartet_mp3/book6_12_candido_e_verde_fiore.mp3	https://kunstderfuge.com/-/mid.files/2/gesualdo_vi_libro_madrigali_12_(c)icking-archive.mid
VI	13. Ardita Zanzaretta	data/kdf/book6/sources/book6_13_ardita_zanzaretta.mid	data/kdf/book6/reductions/string_quartet/book6_13_ardita_zanzaretta.musicxml	data/kdf/book6/renders/string_quartet_mp3/book6_13_ardita_zanzaretta.mp3	https://kunstderfuge.com/-/mid.files/2/gesualdo_vi_libro_madrigali_13_(c)icking-archive.mid
